ultra, ancillary, l1c-45sensor-sc-pointing-bsf
ultra, ancillary, l1c-45sensor-sc-pointing-index
ultra, ancillary, l1c-45sensor-sc-pointing-phi
ultra, ancillary, l1c-45sensor-sc-pointing-theta
ultra, ancillary, l1c-45sensor-static-dead-times
ultra, ancillary, l1c-90sensor-sc-pointing-bsf
ultra, ancillary, l1c-90sensor-sc-pointing-index
ultra, ancillary, l1c-90sensor-sc-pointing-phi
ultra, ancillary, l1c-90sensor-sc-pointing-theta
ultra, ancillary, l1c-90sensor-static-dead-times
ultra, ancillary, ulc-spx-energy-ranges
